track,collection,file_name,series_id,model,source_model_dir,auc_roc,aff_f1,alpha,sae_score,Short,Medium,Long,Total,source_bundle_tag,source_bundle_output_dir,source_slice_tag,source_slice_output_dir
multi,MSL,013_MSL_id_12_Sensor_tr_554_1st_1200.csv,013_MSL_id_12_Sensor_tr_554_1st_1200,HBOS,HBOS,0.656478102189781,0.12631578947368421,1.0,0.12631578947368421,0,1,0,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MSL,014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,014_MSL_id_13_Sensor_tr_1525_1st_4575,HBOS,HBOS,0.6895459793772093,0.1285200718993409,1.0,0.1285200718993409,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MSL,015_MSL_id_14_Sensor_tr_575_1st_1250.csv,015_MSL_id_14_Sensor_tr_575_1st_1250,HBOS,HBOS,0.48864756505952517,0.34020323829820404,1.0,0.34020323829820404,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MSL,016_MSL_id_15_Sensor_tr_500_1st_780.csv,016_MSL_id_15_Sensor_tr_500_1st_780,HBOS,HBOS,0.8156077598722415,0.3821550220154523,1.0,0.3821550220154523,0,1,1,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MSL,017_MSL_id_16_Sensor_tr_512_1st_1850.csv,017_MSL_id_16_Sensor_tr_512_1st_1850,HBOS,HBOS,0.1312657494055154,0.019543973941368076,1.0,0.019543973941368076,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,Daphnet,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,HBOS,HBOS,0.8108047190988574,0.15374647446091785,1.0,0.15374647446091785,0,0,6,6,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,019_MITDB_id_1_Medical_tr_37500_1st_103211,HBOS,HBOS,0.5349597048120908,0.1893831753803974,1.0,0.1893831753803974,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,020_MITDB_id_2_Medical_tr_50000_1st_52315,HBOS,HBOS,0.5115936979149183,0.0009195402298850574,1.0,0.0009195402298850574,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,021_MITDB_id_3_Medical_tr_50000_1st_57595.csv,021_MITDB_id_3_Medical_tr_50000_1st_57595,HBOS,HBOS,0.4851115132170271,0.04039653750053083,1.0,0.04039653750053083,0,0,18,18,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,022_MITDB_id_4_Medical_tr_50000_1st_54253.csv,022_MITDB_id_4_Medical_tr_50000_1st_54253,HBOS,HBOS,0.5133978257683227,0.0695364266281806,1.0,0.0695364266281806,0,0,25,25,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
